alpha0,d,kappa,Ps_fit,Ps_numerical,Delta_rel_percent
7.692649574879162e-22,0.1607594936708861,2.196707090793235e-07,1.4046197335834098e+16,1.4067647720685412e+16,0.15248025311135338
1.0913767146512783e-24,0.1835443037974684,3.0270016537634676e-06,2.240421418471484e+19,2.2432383846708572e+19,0.12557587363978273
4.5522682755073095e-22,0.2518987341772152,5.9176857481888305e-08,7.06418400328757e+17,7.062235625016292e+17,0.02758868968313344
2.2616759492228737e-25,0.16455696202531647,6.2728998581962565e-06,2.9927273361198375e+19,2.9948495929018384e+19,0.0708635514461542
