d,y,U_hat,in_genesis_segment
1.0,0.059402858441210904,0.18738982239134425,1
1.0,0.05970345062198895,0.1873887054725329,1
1.0,0.06000556386861325,0.18738757724054328,1
1.0,0.06030920587802823,0.18738643758097592,1
1.0,0.06061438438612662,0.18738528637827828,1
1.0,0.06092110716794656,0.18738412351573325,1
1.0,0.061229382037869685,0.1873829488754477,1
1.0,0.0615392168498202,0.18738176233834028,1
1.0,0.06185061949746497,0.18738056378412987,1
1.0,0.06216359791441465,0.18737935309132348,1
1.0,0.06247816007442579,0.18737813013720403,1
1.0,0.06279431399160403,0.18737689479781836,1
1.0,0.06311206772060814,0.1873756469479644,1
1.0,0.06343142935685539,0.18737438646117927,1
1.0,0.06375240703672774,0.18737311320972616,1
1.0,0.06407500893777913,0.18737182706458183,1
1.0,0.06439924327894374,0.18737052789542377,1
1.0,0.0647251183207455,0.18736921557061717,1
1.0,0.0650526423655085,0.18736788995720163,1
1.0,0.06538182375756853,0.18736655092087826,1
1.0,0.0657126708834856,0.187365198325996,1
1.0,0.06604519217225768,0.1873638320355382,1
1.0,0.0663793960955354,0.18736245191110917,1
1.0,0.06671529116783792,0.1873610578129201,1
1.0,0.06705288594676981,0.18735964959977527,1
1.0,0.0673921890332391,0.18735822712905809,1
1.0,0.0677332090716764,0.18735679025671678,1
1.0,0.0680759547502552,0.18735533883725022,1
1.0,0.068420434801113,0.18735387272369325,1
1.0,0.06876665800057405,0.18735239176760227,1
1.0,0.06911463316937284,0.18735089581904033,1
1.0,0.06946436917287875,0.18734938472656226,1
1.0,0.06981587492132205,0.1873478583371999,1
1.0,0.0701691593700207,0.18734631649644648,1
1.0,0.07052423151960877,0.18734475904824152,1
1.0,0.07088110041626557,0.1873431858349554,1
1.0,0.07123977515194617,0.1873415966973735,1
1.0,0.071600264864613,0.18733999147468053,1
1.0,0.07196257873846876,0.18733837000444478,1
1.0,0.07232672600419025,0.1873367321226016,1
1.0,0.0726927159391637,0.18733507766343743,1
1.0,0.07306055786772102,0.18733340645957341,1
1.0,0.07343026116137738,0.1873317183419485,1
1.0,0.07380183523907004,0.18733001313980302,1
1.0,0.07417528956739822,0.18732829068066173,1
1.0,0.07455063366086424,0.18732655079031665,1
1.0,0.07492787708211614,0.1873247932928097,1
1.0,0.07530702944219107,0.18732301801041565,1
1.0,0.07568810040076035,0.1873212247636242,1
1.0,0.07607109966637529,0.18731941337112246,1
1.0,0.07645603699671487,0.18731758364977688,1
1.0,0.07684292219883412,0.18731573541461521,1
1.0,0.07723176512941406,0.18731386847880827,1
1.0,0.07762257569501274,0.18731198265365145,1
1.0,0.07801536385231775,0.1873100777485461,1
1.0,0.07841013960839974,0.18730815357098066,1
1.0,0.07880691302096751,0.18730620992651173,1
1.0,0.07920569419862418,0.18730424661874492,1
1.0,0.07960649330112472,0.18730226344931541,1
1.0,0.08000932053963479,0.18730026021786847,1
1.0,0.08041418617699099,0.18729823672203957,1
1.0,0.0808211005279621,0.18729619275743473,1
1.0,0.08123007395951211,0.18729412811761006,1
1.0,0.08164111689106424,0.18729204259405166,1
1.0,0.08205423979476642,0.18728993597615506,1
1.0,0.08246945319575795,0.1872878080512044,1
1.0,0.08288676767243788,0.1872856586043517,1
1.0,0.08330619385673436,0.18728348741859555,1
1.0,0.08372774243437557,0.18728129427475979,1
1.0,0.08415142414516193,0.18727907895147228,1
1.0,0.0845772497832397,0.18727684122514268,1
1.0,0.08500523019737606,0.18727458086994092,1
1.0,0.08543537629123546,0.18727229765777484,1
1.0,0.08586769902365735,0.18726999135826775,1
1.0,0.0863022094089355,0.1872676617387361,1
1.0,0.08673891851709853,0.18726530856416643,1
1.0,0.08717783747419199,0.1872629315971923,1
1.0,0.08761897746256166,0.18726053059807132,1
1.0,0.08806234972113873,0.18725810532466156,1
1.0,0.08850796554572592,0.1872556555323976,1
1.0,0.08895583628928534,0.1872531809742669,1
1.0,0.08940597336222762,0.18725068140078568,1
1.0,0.0898583882327028,0.1872481565599743,1
1.0,0.09031309242689238,0.1872456061973326,1
1.0,0.090770097529303,0.18724303005581544,1
1.0,0.09122941518306156,0.18724042787580714,1
1.0,0.0916910570902119,0.18723779939509644,1
1.0,0.09215503501201287,0.18723514434885083,1
1.0,0.09262136076923806,0.18723246246959063,1
1.0,0.09309004624247684,0.18722975348716311,1
1.0,0.09356110337243716,0.187227017128716,1
1.0,0.09403454416024964,0.1872242531186709,1
1.0,0.09451038066777354,0.18722146117869679,1
1.0,0.09498862501790367,0.1872186410276823,1
1.0,0.0954692893948797,0.18721579238170913,1
1.0,0.09595238604459627,0.18721291495402378,1
1.0,0.09643792727491513,0.18721000845501012,1
1.0,0.09692592545597864,0.18720707259216116,1
1.0,0.09741639302052484,0.18720410707005045,1
1.0,0.0979093424642044,0.1872011115903037,1
1.0,0.09840478634589885,0.18719808585156958,1
1.0,0.09890273728804055,0.18719502954949077,1
1.0,0.0994032079769343,0.1871919423766743,1
1.0,0.09990621116308049,0.18718882402266165,1
1.0,0.10041175966150002,0.18718567417389903,1
1.0,0.10091986635206075,0.18718249251370675,1
1.0,0.10143054417980564,0.18717927872224877,1
1.0,0.10194380615528262,0.18717603247650164,1
1.0,0.10245966535487581,0.18717275345022347,1
1.0,0.10297813492113904,0.18716944131392219,1
1.0,0.10349922806313044,0.18716609573482396,1
1.0,0.10402295805674902,0.18716271637684107,1
1.0,0.1045493382450729,0.18715930290053923,1
1.0,0.10507838203869926,0.18715585496310533,1
1.0,0.10561010291608601,0.18715237221831404,1
1.0,0.10614451442389519,0.1871488543164947,1
1.0,0.10668163017733798,0.1871453009044975,1
1.0,0.10722146386052174,0.1871417116256597,1
1.0,0.1077640292267986,0.1871380861197713,1
1.0,0.10830934009911582,0.18713442402304045,1
1.0,0.10885741037036792,0.18713072496805838,1
1.0,0.10940825400375069,0.1871269885837644,1
1.0,0.10996188503311695,0.1871232144954101,1
1.0,0.11051831756333408,0.18711940232452373,1
1.0,0.11107756577064318,0.18711555168887356,1
1.0,0.11163964390302057,0.1871116622024316,1
1.0,0.11220456628054057,0.18710773347533663,1
1.0,0.1127723472957404,0.18710376511385673,1
1.0,0.11334300141398682,0.18709975672035206,1
1.0,0.11391654317384468,0.18709570789323646,1
1.0,0.11449298718744734,0.1870916182269394,1
1.0,0.11507234814086899,0.1870874873118672,1
1.0,0.11565464079449855,0.18708331473436407,1
1.0,0.11623987998341613,0.18707910007667267,1
1.0,0.11682808061777067,0.1870748429168944,1
1.0,0.11741925768315994,0.18707054282894922,1
