curve,d,kappa,n_s,alpha_s,ln_S_R
fit,0.3,5.813143282224713e-09,0.9919162018875992,-0.0024104987602019505,
fit,0.3,5.983321728796294e-09,0.9918463500073162,-0.002431201321990213,
fit,0.3,6.158482110660254e-09,0.9917758982416979,-0.0024520792576174545,
fit,0.3,6.3387702728384874e-09,0.9917048415037953,-0.0024731345493992016,
fit,0.3,6.524336329932635e-09,0.9916331746628329,-0.0024943677481047075,
fit,0.3,6.715334791115135e-09,0.9915608925463287,-0.002515781486442742,
fit,0.3,6.911924688779365e-09,0.9914879899394856,-0.0025373764926703637,
fit,0.3,7.114269710955745e-09,0.991414461584518,-0.002559154419588903,
fit,0.3,7.322538337604526e-09,0.9913403021789918,-0.002581117197456951,
fit,0.3,7.536903980898543e-09,0.99126550637733,-0.00260326532987145,
fit,0.3,7.757545129612429e-09,0.991190068790902,-0.0026256014564986913,
fit,0.3,7.984645497739078e-09,0.991113983985683,-0.0026481267399150743,
fit,0.3,8.218394177456807e-09,0.991037246484411,-0.0026708424148362206,
fit,0.3,8.458985796574318e-09,0.9909598507617728,-0.002693750319495987,
fit,0.3,8.706620680585118e-09,0.9908817912486129,-0.00271685215327528,
fit,0.3,8.96150501946605e-09,0.9908030623318078,-0.002740149343477046,
fit,0.3,9.223851039358457e-09,0.9907236583477799,-0.0027636436772149504,
fit,0.3,9.49387717927582e-09,0.9906435735909893,-0.002787336282277987,
fit,0.3,9.771808272983909e-09,0.9905628023063761,-0.0028112294185374184,
fit,0.3,1.0057875736205836e-08,0.9904813386920551,-0.002835324364329213,
fit,0.3,1.0352317759307377e-08,0.990399176898217,-0.002859622808918827,
fit,0.3,1.0655379505623063e-08,0.9903163110294916,-0.0028841264287434304,
fit,0.3,1.0967313315588178e-08,0.9902327351385845,-0.002908837174144162,
fit,0.3,1.1288378916846883e-08,0.9901484432318514,-0.002933756326317899,
fit,0.3,1.1618843640511014e-08,0.9900634292668237,-0.002958885752906641,
fit,0.3,1.1958982643749794e-08,0.9899776871480839,-0.00298422722261954,
fit,0.3,1.2309079138896018e-08,0.9898912107363206,-0.0030097824808256596,
fit,0.3,1.2669424629259076e-08,0.9898039938363548,-0.0030355532985523875,
fit,0.3,1.3040319151841315e-08,0.9897160302057086,-0.003061541397385549,
fit,0.3,1.3422071527160119e-08,0.9896273135496841,-0.003087748284959377,
fit,0.3,1.3814999616383237e-08,0.9895378375235669,-0.0031141762428059244,
fit,0.3,1.4219430585991676e-08,0.9894475957281174,-0.0031408267004985335,
fit,0.3,1.4635701180190798e-08,0.9893565817148863,-0.0031677014584237453,
fit,0.3,1.5064158001295943e-08,0.9892647889807021,-0.0031948027666829637,
fit,0.3,1.5505157798326253e-08,0.9891722109719838,-0.003222131996426507,
fit,0.3,1.595906776404731e-08,0.9890788410790746,-0.0032496910360200124,
fit,0.3,1.6426265840709303e-08,0.9889846726393753,-0.0032774823001247705,
fit,0.3,1.690714103473578e-08,0.9888896989364154,-0.0033055071012217663,
fit,0.3,1.740209374062485e-08,0.9887939132010869,-0.003333767374405501,
fit,0.3,1.7911536074332302e-08,0.988697308605207,-0.0033622654760123716,
fit,0.3,1.843589221641486e-08,0.9885998782688897,-0.003391002583422037,
fit,0.3,1.8975598765218503e-08,0.9885016152547687,-0.0034199813333401843,
fit,0.3,1.953110510040631e-08,0.9884025125696807,-0.003449203452040313,
fit,0.3,2.0102873757128834e-08,0.9883025631620193,-0.003478670830552956,
fit,0.3,2.0691380811147902e-08,0.9882017599272791,-0.0035083854752729834,
fit,0.3,2.1297116275234783e-08,0.9881000956991942,-0.003538349392447661,
fit,0.3,2.1920584507173234e-08,0.9879975632564463,-0.0035685649093510977,
fit,0.3,2.256230462970635e-08,0.9878941553177839,-0.0035990335795058337,
fit,0.3,2.3222810962777245e-08,0.9877898645430241,-0.003629757588176283,
fit,0.3,2.3902653468423895e-08,0.9876846835350171,-0.003660738789780349,
fit,0.3,2.4602398208697776e-08,0.9875786048332182,-0.0036919799148748267,
fit,0.3,2.5322627816987946e-08,0.9874716209211053,-0.0037234827363620826,
fit,0.3,2.606394198314347e-08,0.9873637242179362,-0.003755248773126045,
fit,0.3,2.682695795279727e-08,0.9872549070853175,-0.0037872810254333256,
fit,0.3,2.761231104130753e-08,0.9871451618205572,-0.003819581240479264,
fit,0.3,2.8420655162745108e-08,0.9870344806615089,-0.0038521513916975406,
fit,0.3,2.9252663374366476e-08,0.986922855781244,-0.003884993829552902,
fit,0.3,3.0109028437025925e-08,0.9868102792926313,-0.00391811107361114,
fit,0.3,3.099046339199427e-08,0.9866967432424995,-0.003951504774501867,
fit,0.3,3.189770215466325e-08,0.9865822396164076,-0.003985177448139032,
fit,0.3,3.283150012563047e-08,0.9864667603343508,-0.004019131294194726,
fit,0.3,3.379263481967431e-08,0.9863502972528136,-0.004053368424411889,
fit,0.3,3.478190651314134e-08,0.9862328421612171,-0.004087891004564484,
fit,0.3,3.58001389102858e-08,0.986114386786061,-0.004122701694352297,
fit,0.3,3.6848179829116765e-08,0.9859949227845535,-0.004157802830917254,
fit,0.3,3.792690190732254e-08,0.9858744417507402,-0.004193196152721727,
fit,0.3,3.903720332886092e-08,0.9857529352083955,-0.004228884537364454,
fit,0.3,4.0180008571820914e-08,0.9856303946176187,-0.004264870132066265,
fit,0.3,4.135626917817706e-08,0.9855068113666675,-0.004301155239774868,
fit,0.3,4.256696454607867e-08,0.9853821767778372,-0.00433774223414729,
fit,0.3,4.381310274533306e-08,0.9852564821032811,-0.004374633695983343,
fit,0.3,4.5095721356761446e-08,0.9851297185257278,-0.004411832015272225,
fit,0.3,4.641588833612773e-08,0.9850018771592305,-0.00444933944936899,
fit,0.3,4.7774702903357733e-08,0.9848729490458599,-0.0044871585944191925,
fit,0.3,4.917329645779016e-08,0.9847429251566385,-0.004525291603811418,
fit,0.3,5.061283352022214e-08,0.9846117963923472,-0.0045637414509694454,
fit,0.3,5.209451270253212e-08,0.9844795535820952,-0.004602510648550023,
fit,0.3,5.3619567705688166e-08,0.9843461874804099,-0.004641601066316947,
fit,0.3,5.5189268346973744e-08,0.9842116887697582,-0.004681015957569146,
fit,0.3,5.680492161728429e-08,0.9840760480614573,-0.0047207572075636875,
fit,0.3,5.846787276937589e-08,0.9839392558891834,-0.004760828224586733,
fit,0.3,6.017950643797328e-08,0.9838013027151185,-0.004801230968206491,
fit,0.3,6.19412477926676e-08,0.9836621789231961,-0.004841968074832809,
fit,0.3,6.375456372456507e-08,0.9835218748245058,-0.004883042351701131,
fit,0.3,6.562096406767554e-08,0.9833803806530789,-0.004924456564254283,
fit,0.3,6.754200285605593e-08,0.9832376865663294,-0.004966212877229655,
fit,0.3,6.951927961775605e-08,0.983093782644931,-0.0050083146692082026,
fit,0.3,7.155444070664575e-08,0.9829486588906017,-0.005050764236970234,
fit,0.3,7.364918067322973e-08,0.9828023052282452,-0.005093564300809268,
fit,0.3,7.580524367559261e-08,0.9826547115031724,-0.005136717585211663,
fit,0.3,7.802442493165044e-08,0.9825058674816569,-0.005180227157107697,
fit,0.3,8.030857221391521e-08,0.9823557628503116,-0.005224095265118203,
fit,0.3,8.265958738801813e-08,0.9822043872147992,-0.005268325118971323,
fit,0.3,8.507942799627444e-08,0.9820517301007783,-0.005312919163774042,
fit,0.3,8.757010888760517e-08,0.9818977809522172,-0.005357881097308434,
fit,0.3,9.013370389517438e-08,0.9817425291276743,-0.005403212823088831,
fit,0.3,9.27723475631406e-08,0.9815859639094903,-0.005448917399015547,
fit,0.3,9.548823692395676e-08,0.9814280744922549,-0.005494998166168087,
fit,0.3,9.82836333277003e-08,0.9812688499867633,-0.005541457286718912,
fit,0.3,1.0116086432495807e-07,0.9811082794226443,-0.005588298079346257,
fit,0.3,1.0412232560483065e-07,0.9809463517413125,-0.005635524123162469,
fit,0.3,1.0717048298967093e-07,0.9807830558015942,-0.005683137725951651,
fit,0.3,1.1030787448822151e-07,0.9806183803722733,-0.005731141640276466,
fit,0.3,1.1353711240885178e-07,0.9804523141411305,-0.005779539238995407,
fit,0.3,1.1686088553466497e-07,0.9802848457044421,-0.005828333541964395,
fit,0.3,1.2028196136227775e-07,0.9801159635719857,-0.005877527738137156,
fit,0.3,1.2380318840613968e-07,0.9799456561664194,-0.005927124947785453,
fit,0.3,1.274274985703132e-07,0.9797739118196546,-0.005977127480221223,
fit,0.3,1.3115790958968502e-07,0.9796007187747208,-0.006027539526955325,
fit,0.3,1.3499752754264296e-07,0.9794260651870722,-0.006078363474722015,
fit,0.3,1.389495494373136e-07,0.9792499391173392,-0.006129602687249366,
fit,0.3,1.4301726587350879e-07,0.9790723285369731,-0.006181260442951544,
fit,0.3,1.4720406378260015e-07,0.9788932213259315,-0.00623333972457954,
fit,0.3,1.5151342924760513e-07,0.9787126052714573,-0.006285844043397867,
fit,0.3,1.5594895040582833e-07,0.9785304680686915,-0.006338776319392461,
fit,0.3,1.6051432043647616e-07,0.9783467973165981,-0.006392139990060025,
fit,0.3,1.6521334063573685e-07,0.9781615805231239,-0.006445938293995188,
fit,0.3,1.700499235818794e-07,0.9779748050981191,-0.0065001745927062565,
fit,0.3,1.750280963930101e-07,0.9777864583594411,-0.006554852038388667,
fit,0.3,1.8015200408020237e-07,0.9775965275251618,-0.006609974030347368,
fit,0.3,1.8542591299878542e-07,0.9774049997210682,-0.006665544000257109,
fit,0.3,1.908542144006686e-07,0.97721186197244,-0.006721565330449222,
fit,0.3,1.9644142809066267e-07,0.9770171012072728,-0.006778041310884567,
fit,0.3,2.0219220618983556e-07,0.9768207042551049,-0.006834975727670375,
fit,0.3,2.081113370090395e-07,0.976622657848746,-0.006892371314423093,
fit,0.3,2.142037490358383e-07,0.9764229486174768,-0.006950232210349225,
fit,0.3,2.2047451503814767e-07,0.9762215630935902,-0.007008561519633222,
fit,0.3,2.269288562880081e-07,0.9760184877054018,-0.007067363016490025,
fit,0.3,2.3357214690901212e-07,0.9758137087820872,-0.007126639942277677,
fit,0.3,2.404099183509974e-07,0.9756072125503584,-0.0071863960985479175,
fit,0.3,2.4744786399573476e-07,0.9753989851330424,-0.0072466349942958,
fit,0.3,2.54691843897454e-07,0.9751890125493162,-0.007307359997988136,
fit,0.3,2.6214788966213584e-07,0.9749772807163595,-0.007368574959235902,
fit,0.3,2.6982220946965334e-07,0.974763775443806,-0.007430283676631677,
fit,0.3,2.777211932429355e-07,0.9745484824402819,-0.007492489692032159,
fit,0.3,2.8585141796844717e-07,0.9743313873024123,-0.007555196194639763,
fit,0.3,2.942196531724371e-07,0.9741124755257241,-0.007618407727141521,
fit,0.3,3.0283286655749457e-07,0.9738917324947766,-0.007682127248307857,
fit,0.3,3.1169822980411437e-07,0.9736691434885764,-0.007746359018875992,
fit,0.3,3.208231245421074e-07,0.973444693677623,-0.007811106737124568,
fit,0.3,3.3021514849681757e-07,0.9732183681199871,-0.007876374067529598,
fit,0.3,3.3988212181526674e-07,0.97299015176905,-0.007942164765011805,
fit,0.3,3.498320935775032e-07,0.9727600294641494,-0.008008482822328744,
fit,0.3,3.60073348498562e-07,0.9725279859341365,-0.008075331978811204,
fit,0.3,3.706144138266228e-07,0.9722940057974144,-0.008142716165239455,
fit,0.3,3.814640664431174e-07,0.9720580735583416,-0.008210639502860329,
fit,0.3,3.9263134017068395e-07,0.9718201736104476,-0.008279105552677274,
fit,0.3,4.0412553329506e-07,0.9715802902306047,-0.008348118384670103,
fit,0.3,4.159562163071843e-07,0.9713384075841812,-0.008417682068767501,
fit,0.3,4.281332398719396e-07,0.9710945097206224,-0.008487800803240936,
fit,0.3,4.4066674303017865e-07,0.9708485805735014,-0.008558477893939515,
fit,0.3,4.5356716164087024e-07,0.9706006039598952,-0.008629718105200537,
fit,0.3,4.6684523707037945e-07,0.9703505635807277,-0.008701525276668634,
fit,0.3,4.805120251361242e-07,0.9700984430199199,-0.008773903338286398,
fit,0.3,4.94578905312064e-07,0.9698442257415243,-0.008846856780190787,
fit,0.3,5.090575902036687e-07,0.9695878950922623,-0.00892038885000708,
fit,0.3,5.239601353002645e-07,0.9693294342979591,-0.00899450502113322,
fit,0.3,5.39298949012887e-07,0.9690688264652069,-0.009069208355515695,
